Date,Date Readable,Title,Timeslot Num,Start time,End time,Items
2016-09-09,September 9,"Expo hall, Conference hall, Workshops hall"
,,,1,09:00,10:00,132
,,,2,10:00,10:15,136
,,,3,10:15,11:00,139
,,,4,11:00,11:40,"103, 112, 120, 109"
,,,5,11:50,12:30,"129, 116"
,,,6,12:30,14:00,133
,,,7,14:00,14:40,"101, 118, 107"
,,,8,14:50,15:30,"140, 126"
,,,9,15:30,16:00,134
,,,10,16:00,16:40,"105, 127, 119"
,,,11,16:50,17:30,"112, 111"
,,,12,17:40,18:20,"106, 125"
,,,13,18:30,22:30,137
2016-09-10,September 10,"Expo hall, Conference hall, Workshops hall"
,,,1,09:30,10:10,135
,,,2,10:10,10:50,"114, 117, 121"
,,,3,11:00,11:40,"122, 113, 121"
,,,4,11:50,12:30,"104, 124"
,,,5,12:30,14:00,133
,,,6,14:00,14:40,"108, 128, 102"
,,,7,14:50,15:30,"110, 123"
,,,8,15:30,16:00,134
,,,9,16:00,16:40,"131, 140, 130"
,,,10,16:50,17:30,"115, 140"
