Name,Title,ShortBio,Photo,Featured,CompanyLogoUrl,Country,Pronouns,Bio,Order,Socials,Name,PhotoUrl,CompanyLogo,Company,Badges
gerard_sans,Technical Evangelist,Angular Google Developer Expert. International speaker and trainer.  Enjoy running AngularLabs London.,/images/people/gerard_sans.jpg,true,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"London, United Kingdom",,"Angular Google Developer Expert. I am a Computer Science Engineer specialised in Web. International speaker and trainer. I am an Angular fanboy and a community activist fighting for the JavaScript revolution. I have lived and worked for all sorts of companies in Germany, Brazil, UK and Spain. I am always up for a good challenge. I enjoy running AngularLabs London, mentoring students, participating in the community, giving talks and writing technical articles at Medium.",8,twitter;https://twitter.com/gerardsans;Twitter;website;https://medium.com/@gerard.sans;Website,Gerard Sans,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/gerard_sans.jpg,/images/logos/gdg-lviv.svg,AngularZone,gde;Angular Google Developer Expert;https://developers.google.com/experts/people/gerard-sans.html
valentyn_shybanov,Software Engineer/Country Manager,Google Developer Expert on Cloud. Co-organizer of GDG Kyiv-Center.,/images/people/valentyn_shybanov.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Kyiv, Ukraine",,Google Developer Expert on Cloud. Co-organizer of GDG Kyiv-Center.,25,website;http://olostan.name/;Website,Valentyn Shybanov,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/valentyn_shybanov.jpg,/images/logos/gdg-lviv.svg,Wolters Kluwer,gde;Cloud Google Developer Expert;https://developers.google.com/experts/people/valentyn-shybanov.html;gdg;Google Developers Group Kyiv;https://developers.google.com/groups/chapter/110301321530950732281/
aleksander_piotrowski,Code Monkey,"Became a mobile developer after long run as a backend developer. Because of age, holding senior p...",/images/people/aleksander_piotrowski.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Warsaw, Poland",he/him,"Became a mobile developer after long run as a backend developer. Because of age, holding senior positions from the day one as an Android programmer. Serial hackathon winner, or at least contender ;-)",1,twitter;https://twitter.com/pelotasplus;Twitter;facebook;http://facebook.com/pelotasplus;Facebook;linkedin;https://www.linkedin.com/in/pelotasplus;LinkedIn;instagram;https://www.instagram.com/pelotasplus/;Instagram,Aleksander Piotrowski,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/aleksander_piotrowski.jpg,/images/logos/gdg-lviv.svg,Applause,
konrad_dzwinel,Front-End Engineer,Fighting for 60FPS on Web. GDE on Web Technologies. Co-organizer of GDG Krakow.,/images/people/konrad_dzwinel.jpg,true,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Krakow, Poland",,"Konrad is a front-end developer at Brainly, Google Developer Expert for Web Technologies and co-organizer of Google Developers Group in Krakow. Over the years he worked for various startups, consultancies and software houses building websites, hybrid apps and internal tools. After work, he develops Chrome extensions, experiments with various front-end technologies, gives presentations and runs workshops.",14,github;https://github.com/kdzwinel;GitHub;twitter;https://twitter.com/kdzwinel;Twitter,Konrad Dzwinel,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/konrad_dzwinel.jpg,/images/logos/gdg-lviv.svg,Brainly,gde;Web Technologies Google Developer Expert;https://developers.google.com/experts/people/konrad-dzwinel.html;gdg;Google Developers Group Krakow; https://developers.google.com/groups/directory/
roman_herasymenko,CEO,Roman is Founder and CEO at Yamert and a co-organizer of GDG Dnipropetrovsk. Roman is interesting...,/images/people/roman_herasymenko.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Dnipro, Ukraine",,Roman is Founder and CEO at Yamert and a co-organizer of GDG Dnipropetrovsk. Roman is interesting in software development for cutting edge technologies and devices like Google Glass and Android Wear.,20,linkedin;http://ua.linkedin.com/pub/roman-gerasimenko/;LinkedIn,Roman Herasymenko,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/roman_herasymenko.jpg,/images/logos/gdg-lviv.svg,Yamert,gde;Android Google Developer Expert;https://developers.google.com/experts/people/roman-herasymenko.html;gdg;Google Developers Group Dnipro;https://developers.google.com/groups/chapter/116033068768596939209/
sergiy_mokienko,Android Team Lead,Sergiy is an android developer that has experience from building apps from scratch to developing...,/images/people/sergiy_mokienko.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Kyiv,  Ukraine",,Sergiy is an android developer that has experience from building apps from scratch to developing android based sdks and libraries for other applications. He has more than 10 applications successfully published on Google Play. Former GDG chapter lead in Nikolaev. Currently he is leading a team that builds broker software for 60+ different brokers.,24,linkedin;https://www.linkedin.com/in/sergiy-mokienko-76891359;LinkedIn;facebook;https://www.facebook.com/Korwin22;Facebook,Sergiy Mokienko,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/sergiy_mokienko.jpg,/images/logos/gdg-lviv.svg,Leverate,gdg;Google Developers Group Kyiv;https://developers.google.com/groups/chapter/110301321530950732281/
carmen_popovicu,Front-end Engineer,"Angular JS committer. Founder of Dutch Angular JS Community, co-organizer of NG-NL.",/images/people/carmen_popovicu.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Cluj-Napoca, Romania",,"Carmen is a front-end engineer and a #1 fan of dev communities. She loves Angular but has since recently developed feelings for Polymer too. She strongly believes that adding at least one ASCII smiley in your emails will make the world a better place and hopes to one day make a difference for the web with the code she writes. If she had super powers, she would smiley all the things.",3,twitter;https://twitter.com/CarmenPopoviciu;Twitter,Carmen Popovicu,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/carmen_popovicu.jpg,/images/logos/gdg-lviv.svg,Widespread,
michael_pustovit,Senior Android Developer,Michael is a software engineer at Stanfy. He is KPI FICT Computer Science graduate and has 4+ yea...,/images/people/michael_pustovit.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Kyiv, Ukraine",,"Michael is a software engineer at Stanfy. He is KPI FICT Computer Science graduate and has 4+ years in Android development. Michael moderates KyivAndroidDevClub. Besides programming, he is a capoeira player.",17,github;https://github.com/lampapos;GitHub;facebook;https://www.facebook.com/pustovit;Facebook;twitter;https://twitter.com/pustovit;Twitter,Michael Pustovit,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/michael_pustovit.jpg,/images/logos/gdg-lviv.svg,Stanfy,
david_mayboroda,Android Engineer,Ex Yandex emproyee. Android enthusiast.,/images/people/david_mayboroda.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Kyiv, Ukraine",,"Ex-Yandex emploee, currently Android Engineer at SoftServe.",5,facebook;https://www.facebook.com/profile.php?id=100008474898785;Facebook;github;https://github.com/dmayboroda;GitHub,David Mayboroda,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/david_mayboroda.jpg,/images/logos/gdg-lviv.svg,SoftServe,
jean-baptiste_clion,Founder,"Founder and co-organiser of GDG Basel. Worked in Defence & Aeronautics, Finance & Consulting industries.",/images/people/jean-baptiste_clion.jpg,false,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/logos/gdg-lviv.svg,"Basel, Switzerland",,"Jean-Baptiste Clion (AKA JB) is a senior cloud engineer working with Google Technologies since 2007.  He is the founder and co-organiser of GDG Basel, Switzerland. Jean-Baptiste worked in various industries such as Defence & Aeronautics, Finance & Consulting. In his last position, JB was Google Practice Lead at Capgemini Switzerland, he is now co-founding a startup dedicated to Progressive Web Apps solutions relying on cloud technologies.",12,facebook;https://www.facebook.com/jbclion;Facebook;linkedin;https://ch.linkedin.com/in/jean-baptiste-clion-3196415;LinkedIn;twitter;https://twitter.com/JBaptisteClion;Twitter,Jean-Baptiste Clion,https://storage.googleapis.com/hoverboard-experimental.appspot.com/images/people/optim/jean-baptiste_clion.jpg,/images/logos/gdg-lviv.svg,Apeser,gdg;Google Developers Group Basel;https://developers.google.com/groups/chapter/104796338340371914914/
